platform,company,title,summary,date,link,source
Google News,Binance,Binance Faces New Scrutiny in Its Crypto-Friendly UAE Haven - Bloomberg.com,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOcTM5ZWtmU05lNE1pbUhmdmRBR1A3QUJLTlZraXo3aUVWa25yUjMxMTJ4ZVRQWE1Ub0dkY1M4QTg4aXBfNG1Da3BMU0pwLUhkZ0xnMUpZVkZQSWFRbWc1ckxENXNZX1IxbnpYTXVLakNNWlVtaURoYlFBMWw2T014aG1JS3FZcjlkeV9sdWozMTBCblVKRm9CbzNuTmVWb0hkYWJnaU1nbUU3N3JXZWJr?oc=5"" target=""_blank"">Binance Faces New Scrutiny in Its Crypto-Friendly UAE Haven</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg.com</font>","Fri, 21 Aug 2026 20:01:27 GMT",https://news.google.com/rss/articles/CBMirwFBVV95cUxOcTM5ZWtmU05lNE1pbUhmdmRBR1A3QUJLTlZraXo3aUVWa25yUjMxMTJ4ZVRQWE1Ub0dkY1M4QTg4aXBfNG1Da3BMU0pwLUhkZ0xnMUpZVkZQSWFRbWc1ckxENXNZX1IxbnpYTXVLakNNWlVtaURoYlFBMWw2T014aG1JS3FZcjlkeV9sdWozMTBCblVKRm9CbzNuTmVWb0hkYWJnaU1nbUU3N3JXZWJr?oc=5,Bloomberg.com
Google News,Binance,"Binance Launches Agent OS: AI Agents Can Now Trade Crypto With ChatGPT, Claude and Codex - Bitcoin Foundation","<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE9OajM0RW8wUzdtQkFzTmFzRFdUXzRDU2M4dEVBOHBGdTBRYkZZTmpsVHBIZzZwOFhOWHVLaFN6MVNZVWktQXdaY0w4SUhjVDNlT1FxcGItSElrTjVTc05BNThCNXRjRVFuZVU2Vjh2Z1FFRGlQZUhBVw?oc=5"" target=""_blank"">Binance Launches Agent OS: AI Agents Can Now Trade Crypto With ChatGPT, Claude and Codex</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bitcoin Foundation</font>","Sat, 22 Aug 2026 11:24:54 GMT",https://news.google.com/rss/articles/CBMieEFVX3lxTE9OajM0RW8wUzdtQkFzTmFzRFdUXzRDU2M4dEVBOHBGdTBRYkZZTmpsVHBIZzZwOFhOWHVLaFN6MVNZVWktQXdaY0w4SUhjVDNlT1FxcGItSElrTjVTc05BNThCNXRjRVFuZVU2Vjh2Z1FFRGlQZUhBVw?oc=5,Bitcoin Foundation
Google News,Binance,How a former crypto user’s archived Binance data ended up in a foreign terrorism prosecution - CryptoSlate,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPdUp4YzFpcW9xZElROE5XYkE0ZWZ1WGpkNlBLQUdhYWkzVjhiV2tuRmRtVU9Fazl4X1FaSVpHaEpsX0lsMmdTQjBBbDhrV29SUGgxaVZvbU9ma01yVkVEY0pfei1UeFBKVG5sek9uZU51dnhCR0stRTM1dmRRVGpnd2VIU0U0T3gwcENWekYyQ1BIMGRTdC1hMHBCSWU4bFZBb0dFc0R2RFBnRnBCRm1QQjR0cmE3eXdF?oc=5"" target=""_blank"">How a former crypto user’s archived Binance data ended up in a foreign terrorism prosecution</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CryptoSlate</font>","Sat, 22 Aug 2026 15:05:23 GMT",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPdUp4YzFpcW9xZElROE5XYkE0ZWZ1WGpkNlBLQUdhYWkzVjhiV2tuRmRtVU9Fazl4X1FaSVpHaEpsX0lsMmdTQjBBbDhrV29SUGgxaVZvbU9ma01yVkVEY0pfei1UeFBKVG5sek9uZU51dnhCR0stRTM1dmRRVGpnd2VIU0U0T3gwcENWekYyQ1BIMGRTdC1hMHBCSWU4bFZBb0dFc0R2RFBnRnBCRm1QQjR0cmE3eXdF?oc=5,CryptoSlate
Google News,Binance,Binance bStocks and xStocks account for 70% of DEX trading volume in tokenized equities - Crypto Briefing,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE93d2pRRE9xcWVNZmtLbmJpNzBxUV96SXBiTlBNSE9rMzN6Q0pCVFBhbjE4V2NkbW9sQ1JiMjFJaFFQVTNrcDJEanFHd1JKRkhsaTVZMlUzLWUxYlQ3eTRQZW9NTFNFRm1uM3JEeUw0blhzTUxWYjI2OHVB?oc=5"" target=""_blank"">Binance bStocks and xStocks account for 70% of DEX trading volume in tokenized equities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Crypto Briefing</font>","Sun, 23 Aug 2026 12:41:08 GMT",https://news.google.com/rss/articles/CBMiekFVX3lxTE93d2pRRE9xcWVNZmtLbmJpNzBxUV96SXBiTlBNSE9rMzN6Q0pCVFBhbjE4V2NkbW9sQ1JiMjFJaFFQVTNrcDJEanFHd1JKRkhsaTVZMlUzLWUxYlQ3eTRQZW9NTFNFRm1uM3JEeUw0blhzTUxWYjI2OHVB?oc=5,Crypto Briefing
Google News,Binance,Binance: Liquidity Pools Fuel Decentralized Trading - blockchain.news,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxOUGptYUg3SlhLSGo0RGJJS0ZkQkxkOEphTG40b2QtejBUeGVaVTNRVUc1VGRRSjJyQVdYZVZ0ZjkyUkd0aUJSR0dSTnZoLUNvY2N5VTRJenlxdk1DSWh0bU81a2lpd0ZzMEpKN3dQd1BMSVYxbG84VHNBQTVCM0d0c3k4WDFhMEcwZ0FXTg?oc=5"" target=""_blank"">Binance: Liquidity Pools Fuel Decentralized Trading</a>&nbsp;&nbsp;<font color=""#6f6f6f"">blockchain.news</font>","Mon, 24 Aug 2026 03:55:47 GMT",https://news.google.com/rss/articles/CBMijAFBVV95cUxOUGptYUg3SlhLSGo0RGJJS0ZkQkxkOEphTG40b2QtejBUeGVaVTNRVUc1VGRRSjJyQVdYZVZ0ZjkyUkd0aUJSR0dSTnZoLUNvY2N5VTRJenlxdk1DSWh0bU81a2lpd0ZzMEpKN3dQd1BMSVYxbG84VHNBQTVCM0d0c3k4WDFhMEcwZ0FXTg?oc=5,blockchain.news
Google News,Binance,Two Binance Employees Detained in the U.A.E. Amid Police Inquiries - The New York Times,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxQQUZnRmRyVHNsdjFPYmYybG56enNxSGtNN3NKMGExazNzYVA5bjZCNG5UOXNUNzVxaV8yaXdpdkhpZlJnb2k4azUwUHhsZnk0cHBIY0xpcTZiTDZRMWJFdVpYeDl6TUNjR3ZNeUFTTkZZWGtfRW9EbDktWmRublc4VFlONGhscXJERDNsOEZ3?oc=5"" target=""_blank"">Two Binance Employees Detained in the U.A.E. Amid Police Inquiries</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>","Thu, 20 Aug 2026 19:10:09 GMT",https://news.google.com/rss/articles/CBMijgFBVV95cUxQQUZnRmRyVHNsdjFPYmYybG56enNxSGtNN3NKMGExazNzYVA5bjZCNG5UOXNUNzVxaV8yaXdpdkhpZlJnb2k4azUwUHhsZnk0cHBIY0xpcTZiTDZRMWJFdVpYeDl6TUNjR3ZNeUFTTkZZWGtfRW9EbDktWmRublc4VFlONGhscXJERDNsOEZ3?oc=5,The New York Times
Google News,Binance,"Binance now lets AI agents trade, but keeping them in check is largely up to users - TechCrunch","<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxON3BjNUx6eXJuQVNaQ2tIcXZKQXBUNVJKRklYVHgycER2Nlo3dlpnc3k5QUh6VmRnS0RxS3JSUkc5bW1LTzBVT2x5SWtDMjkzZ3otOHhEU2RmUW1wWkVlWTBHeW13dU40VjBrVUIwTU1NSmdibE1Ia3NwRmh0QU9jdm55Mms1cnpWVzFhXzFZNEJwbmppSnBJUnNJczV6RkJPMUVZUWp1YWRZcHpqazFWZTNCVDY2aTQ?oc=5"" target=""_blank"">Binance now lets AI agents trade, but keeping them in check is largely up to users</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechCrunch</font>","Thu, 20 Aug 2026 09:30:00 GMT",https://news.google.com/rss/articles/CBMitwFBVV95cUxON3BjNUx6eXJuQVNaQ2tIcXZKQXBUNVJKRklYVHgycER2Nlo3dlpnc3k5QUh6VmRnS0RxS3JSUkc5bW1LTzBVT2x5SWtDMjkzZ3otOHhEU2RmUW1wWkVlWTBHeW13dU40VjBrVUIwTU1NSmdibE1Ia3NwRmh0QU9jdm55Mms1cnpWVzFhXzFZNEJwbmppSnBJUnNJczV6RkJPMUVZUWp1YWRZcHpqazFWZTNCVDY2aTQ?oc=5,TechCrunch
Google News,Binance,Binance gave Russia client data used in Ukraine donation case - CoinDesk,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPNEV1eDB0TThkRjNyVUhwRU90bjBBSGdnQzR5THJyZ1Q0bGNjQWJaaTZZY0ZhRTJqZWhIcjc5ME1mejNJdnZjb2NMdzJCRk1XV1k0VXZuZnlTZnNNQkpyVTg0a2R6b1ZfNDMxUVFyQVJEM25KWC12VTdzUmE4QzBVVV8xRE5jMktTQjY2VTFDaG5YREpaUWIzYi03cjJVenprT2RCMWVmV3d5RHdTRl9YLUJka3FSX0E?oc=5"" target=""_blank"">Binance gave Russia client data used in Ukraine donation case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CoinDesk</font>","Mon, 17 Aug 2026 09:16:14 GMT",https://news.google.com/rss/articles/CBMitwFBVV95cUxPNEV1eDB0TThkRjNyVUhwRU90bjBBSGdnQzR5THJyZ1Q0bGNjQWJaaTZZY0ZhRTJqZWhIcjc5ME1mejNJdnZjb2NMdzJCRk1XV1k0VXZuZnlTZnNNQkpyVTg0a2R6b1ZfNDMxUVFyQVJEM25KWC12VTdzUmE4QzBVVV8xRE5jMktTQjY2VTFDaG5YREpaUWIzYi03cjJVenprT2RCMWVmV3d5RHdTRl9YLUJka3FSX0E?oc=5,CoinDesk
Google News,Binance,"Tokenized equities triple market share as Ondo, Binance and xStocks dominate - The Block","<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNeWtJTk1SVUthN1hMMzRhMVdEeDczLTlPVlJSTkJHZkdvOWpJci1KaVFYQVh3ZXRWOUNKb2xaZ2ZYQnVjUExWNzNyZ01mXzBpYkw1ZDdyRVg4VjdpTXFJYWJEZ3ZKVW1jM2R1MjROcElxeVFOQnczLVlVbzNSTnV5bl9SZWZfX3V6UUtyWjd3Xy15UFQtM2xhXzVzWkw3d29rMnN2a1dQWmtzd29GRzBEQVg0clVrc055M1plUg?oc=5"" target=""_blank"">Tokenized equities triple market share as Ondo, Binance and xStocks dominate</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Block</font>","Mon, 17 Aug 2026 20:55:00 GMT",https://news.google.com/rss/articles/CBMivAFBVV95cUxNeWtJTk1SVUthN1hMMzRhMVdEeDczLTlPVlJSTkJHZkdvOWpJci1KaVFYQVh3ZXRWOUNKb2xaZ2ZYQnVjUExWNzNyZ01mXzBpYkw1ZDdyRVg4VjdpTXFJYWJEZ3ZKVW1jM2R1MjROcElxeVFOQnczLVlVbzNSTnV5bl9SZWZfX3V6UUtyWjd3Xy15UFQtM2xhXzVzWkw3d29rMnN2a1dQWmtzd29GRzBEQVg0clVrc055M1plUg?oc=5,The Block
Google News,Binance,"EXCLUSIVE: Binance gave Moscow client details used to charge Russian over Ukraine donations, documents show - Reuters","<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQRHFHaFRyb1A4VHA4VkZIbzJjUk5MMTViS19zR2pfWFp1b0dacEVlckI0bE9qVUY5X3FIamdodWhhNFdFMEhVTUw5TE9udjB4U3ROLWpIVWFtUVd5eUEybTBmQ3JwbkY4UXJBTG1oTnBQSUZ0TnotQjQ3cUZNWE1NWnBZTTl0QUcySUE4am1UR0V1QUJyMGlJeEk0VWV1X2o3dnhZR3QyZ1JTeXNHNnpOdklWYzRGcnhNWVZmRzY5TlU5Z0hYSUViLXN3?oc=5"" target=""_blank"">EXCLUSIVE: Binance gave Moscow client details used to charge Russian over Ukraine donations, documents show</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>","Mon, 17 Aug 2026 06:12:07 GMT",https://news.google.com/rss/articles/CBMiygFBVV95cUxQRHFHaFRyb1A4VHA4VkZIbzJjUk5MMTViS19zR2pfWFp1b0dacEVlckI0bE9qVUY5X3FIamdodWhhNFdFMEhVTUw5TE9udjB4U3ROLWpIVWFtUVd5eUEybTBmQ3JwbkY4UXJBTG1oTnBQSUZ0TnotQjQ3cUZNWE1NWnBZTTl0QUcySUE4am1UR0V1QUJyMGlJeEk0VWV1X2o3dnhZR3QyZ1JTeXNHNnpOdklWYzRGcnhNWVZmRzY5TlU5Z0hYSUViLXN3?oc=5,Reuters
