message_id,sender,date,text,views,replies,channel
20044310,7517205512,2026-08-24 11:53:03+00:00,thank you very much Big brother,,,binanceexchange
20044309,977295348,2026-08-24 11:52:25+00:00,"You can actually send message to Marchant, if you have any restriction or issues related to your binance account kindly chat binance live support. https://www.binance.com/en/chat",,,binanceexchange
20044307,604089790,2026-08-24 11:48:53+00:00,Check messages. Sir,,,binanceexchange
20044306,7517205512,2026-08-24 11:39:13+00:00,actually when I trad in p2p there's fixed template I cannot Free chat with buyer's,,,binanceexchange
20044304,6753988569,2026-08-24 11:38:04+00:00,Today maybe🤭🤭,,,binanceexchange
20044303,977295348,2026-08-24 11:33:55+00:00,Hi what's wrong?,,,binanceexchange
20044302,7637257589,2026-08-24 11:32:50+00:00,,,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044300,5340705899,2026-08-24 11:24:59+00:00,Winner's Will Be Announced Soon Maybe Today Or Tomorrow.,,,binanceexchange
20044299,918503070,2026-08-24 11:23:01+00:00,1st week of sept,,,binanceexchange
20044298,5000225489,2026-08-24 11:22:19+00:00,"Hi guys, have there been results for this competition yet?",,,binanceexchange
20044297,7517205512,2026-08-24 11:21:10+00:00,hi everyone i m living Dubai can I asked you admin I cannot Free chat in my binance,,"MessageReplies(replies=4, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=20044310, read_max_id=None)",binanceexchange
20044296,6527617781,2026-08-24 11:07:25+00:00,"Yes thanks, inspired by the current fluctuated market💪✌️",,,binanceexchange
20044293,7313878571,2026-08-24 10:55:55+00:00,,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044292,8545784846,2026-08-24 10:54:46+00:00,1,,,binanceexchange
20044289,6753988569,2026-08-24 10:47:24+00:00,Liquidity pools are funds locked in smart contracts that help power decentralized trading,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044288,6283677931,2026-08-24 10:45:02+00:00,,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044286,7333355063,2026-08-24 10:42:42+00:00,Great quote to start week,,,binanceexchange
20044285,485980819,2026-08-24 10:39:00+00:00,Holla can I ask about design competition progress?,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044284,6753988569,2026-08-24 10:37:42+00:00,Good morning madam,,,binanceexchange
20044283,6052659858,2026-08-24 10:31:28+00:00,6iago3cq,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044282,604089790,2026-08-24 10:27:51+00:00,Chek DM,,,binanceexchange
20044281,6283677931,2026-08-24 10:27:30+00:00,,,,binanceexchange
20044279,5949781266,2026-08-24 10:26:25+00:00,Can you share your case ID with me please,,,binanceexchange
20044278,6283677931,2026-08-24 10:26:15+00:00,,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044277,6283677931,2026-08-24 10:26:14+00:00,,,"MessageReplies(replies=0, replies_pts=29768115, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044276,6283677931,2026-08-24 10:26:11+00:00,,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044274,6283677931,2026-08-24 10:26:10+00:00,,,"MessageReplies(replies=1, replies_pts=29768115, comments=False, recent_repliers=[], channel_id=None, max_id=20044281, read_max_id=None)",binanceexchange
20044273,604089790,2026-08-24 10:25:45+00:00,Can this be expedited? I really need those funds.,,,binanceexchange
20044272,1316232793,2026-08-24 10:24:42+00:00,Good morning 🌞,,,binanceexchange
20044271,6283677931,2026-08-24 10:24:39+00:00,,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044270,1681737450,2026-08-24 10:23:04+00:00,,,,binanceexchange
20044269,5949781266,2026-08-24 10:23:01+00:00,"Withdrawal restrictions may be applied temporarily due to security checks, recent account changes, or an ongoing account review. Please check your email and any in-app notification for the reason. 

You can also contact contact Customer Support at https://www.binance.com/en/chat for further checking. Once you have the case id, please share with me so I can help follow up with the team.",,,binanceexchange
20044268,6527617781,2026-08-24 10:20:09+00:00,"**""Set the standard today. Small wins on Monday compound into major success by Friday.""** 🔥💻

**Have a powerful start to the week, family!** 🚀☀️

**#BinanceWithPurpose**",,"MessageReplies(replies=2, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044296, read_max_id=None)",binanceexchange
20044267,7062717947,2026-08-24 10:16:40+00:00,Hi how are you,,,binanceexchange
20044265,5340705899,2026-08-24 10:14:35+00:00,Good morning ma,,,binanceexchange
20044263,6283677931,2026-08-24 10:03:57+00:00,,,"MessageReplies(replies=0, replies_pts=29768116, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044262,604089790,2026-08-24 10:03:49+00:00,"My account has been frozen and I cannot make withdrawals, even though I haven't committed any violations or engaged in illegal transactions.",,,binanceexchange
20044259,6283677931,2026-08-24 10:00:46+00:00,,,"MessageReplies(replies=0, replies_pts=29768115, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044257,210944655,2026-08-24 09:58:05+00:00,"Check this user `7480262806`, potential spammer.",,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044255,6283677931,2026-08-24 09:56:40+00:00,GM🔶💛🌅,,,binanceexchange
20044254,6283677931,2026-08-24 09:52:56+00:00,GM🌅🔶💛,,,binanceexchange
20044253,6283677931,2026-08-24 09:52:36+00:00,GM🔶💛,,,binanceexchange
20044252,5949781266,2026-08-24 09:52:35+00:00,"Binance P2P requires the name on the payment account to match the user’s verified Binance identity. This helps prevent third-party payments, unauthorized account use, and later payment disputes.",,,binanceexchange
20044251,927562222,2026-08-24 09:50:00+00:00,What's the motive? He should only care about the money rather than checking payment account belongs to whom?,,,binanceexchange
20044250,8012925498,2026-08-24 09:49:51+00:00,"Hello Adi, please ask your question and how can I help you?",,,binanceexchange
20044249,1885696330,2026-08-24 09:45:03+00:00,Good morning 😁❤️,,,binanceexchange
20044248,604089790,2026-08-24 09:44:01+00:00,Admin help,,"MessageReplies(replies=7, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044307, read_max_id=None)",binanceexchange
20044247,8792279681,2026-08-24 09:22:28+00:00,GM,,,binanceexchange
20044246,6883862975,2026-08-24 09:20:31+00:00,Happy new week ✨️,,,binanceexchange
20044245,611740329,2026-08-24 09:19:43+00:00,likewise,,,binanceexchange
20044244,7333355063,2026-08-24 09:13:33+00:00,"Good morning mam , have a good week ahead 😁",,,binanceexchange
20044243,7849002538,2026-08-24 09:13:03+00:00,Good morning ✨️,,,binanceexchange
20044242,611740329,2026-08-24 09:11:27+00:00,,,"MessageReplies(replies=11, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=20044284, read_max_id=None)",binanceexchange
20044241,1765417106,2026-08-24 09:03:52+00:00,Hello friends Good day.,,"MessageReplies(replies=1, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044267, read_max_id=None)",binanceexchange
20044240,5949781266,2026-08-24 09:01:16+00:00,"Hi
Could you please contact @BinanceResolutions on Telegram for assistance in reviewing your ban from the Binance Pakistan community? Please keep us updated, and let us know if you have any questions during the process.",,,binanceexchange
20044239,5949781266,2026-08-24 08:57:20+00:00,"You may refer to this FAQ for common reasons a card payment may fail and the steps you can take: https://www.binance.com/en/support/faq/detail/93f6204eb3c8420c96c3dec681f2bc2c

If the issue continues, please contact our Customer Support team for an account-specific review:
https://www.binance.com/en/chat 
If you have a Case ID, you may share it with us for follow-up.",,,binanceexchange
20044238,5949781266,2026-08-24 08:52:31+00:00,The next Binance Launchpool and its start date have not been officially announced yet. Please stay tuned to the Launchpool page for the latest confirmed updates: https://www.binance.com/en/support/announcement https://www.binance.com/en/launchpool,,,binanceexchange
20044237,977295348,2026-08-24 08:52:24+00:00,Introducing Binance Agent OS: Built for AI Agent Integration 💪 https://www.binance.com/en/blog/ecosystem/5991233187660196794?ref=UE06QWNK&utm_source=EnglishTelegram&utm_medium=GlobalCommunity&utm_campaign=EnglishAngels,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044236,5949781266,2026-08-24 08:48:20+00:00,"Please contact our Customer Support team at https://www.binance.com/en/chat so they can review the transaction details. If you already have a Case ID, you may share it with us for follow-up.",,,binanceexchange
20044234,6283677931,2026-08-24 08:45:55+00:00,🫢😁,,,binanceexchange
